Epoch 169, Validation Loss: 0.042
Epoch 170, Validation Loss: 0.043
Epoch 171, Validation Loss: 0.048
Epoch 172, Validation Loss: 0.042
Epoch 173, Validation Loss: 0.053
Epoch 174, Validation Loss: 0.049
Epoch 175, Validation Loss: 0.047
Epoch 176, Validation Loss: 0.045
Epoch 177, Validation Loss: 0.047
Epoch 178, Validation Loss: 0.048
Epoch 179, Validation Loss: 0.045
Epoch 180, Validation Loss: 0.043
Epoch 181, Validation Loss: 0.051
Epoch 182, Validation Loss: 0.047
Epoch 183, Validation Loss: 0.045
Epoch 184, Validation Loss: 0.055
Epoch 185, Validation Loss: 0.045
Epoch 186, Validation Loss: 0.047
Epoch 187, Validation Loss: 0.044
Epoch 188, Validation Loss: 0.055
Epoch 189, Validation Loss: 0.044
Epoch 190, Validation Loss: 0.052
Epoch 191, Validation Loss: 0.047
Epoch 192, Validation Loss: 0.047
Epoch 193, Validation Loss: 0.040
Epoch 194, Validation Loss: 0.040
Epoch 195, Validation Loss: 0.040
Epoch 196, Validation Loss: 0.039
Epoch 197, Validation Loss: 0.041
Epoch 198, Validation Loss: 0.046
Epoch 199, Validation Loss: 0.046
Epoch 200, Validation Loss: 0.048
Epoch 201, Validation Loss: 0.042
Epoch 202, Validation Loss: 0.038
Epoch 203, Validation Loss: 0.043
Epoch 204, Validation Loss: 0.048
Epoch 205, Validation Loss: 0.048
Epoch 206, Validation Loss: 0.036
Epoch 207, Validation Loss: 0.042
Epoch 208, Validation Loss: 0.042
Epoch 209, Validation Loss: 0.039
Epoch 210, Validation Loss: 0.045
Epoch 211, Validation Loss: 0.041
Epoch 212, Validation Loss: 0.049
Epoch 213, Validation Loss: 0.044
Epoch 214, Validation Loss: 0.045
Epoch 215, Validation Loss: 0.044
Epoch 216, Validation Loss: 0.051
Epoch 217, Validation Loss: 0.046
Epoch 218, Validation Loss: 0.041
Epoch 219, Validation Loss: 0.042
Epoch 220, Validation Loss: 0.050
Epoch 221, Validation Loss: 0.044
Epoch 222, Validation Loss: 0.047
Epoch 223, Validation Loss: 0.047
Epoch 224, Validation Loss: 0.066
Epoch 225, Validation Loss: 0.053
Epoch 226, Validation Loss: 0.035
Epoch 227, Validation Loss: 0.041
Epoch 228, Validation Loss: 0.044
Epoch 229, Validation Loss: 0.044
