1, 0.406
2, 0.422
3, 0.390
4, 0.367
5, 0.268
6, 0.183
7, 0.184
8, 0.160
9, 0.166
10, 0.210
11, 0.157
12, 0.138
13, 0.322
14, 0.178
15, 0.163
16, 0.149
17, 0.147
18, 0.154
19, 0.165
20, 0.165
21, 0.159
22, 0.161
23, 0.151
24, 0.152
25, 0.148
26, 0.149
27, 0.159
28, 0.155
29, 0.141
30, 0.147
31, 0.150
32, 0.160
33, 0.132
34, 0.148
35, 0.150
36, 0.142
37, 0.141
38, 0.138
39, 0.138
40, 0.122
41, 0.144
42, 0.141
43, 0.158
44, 0.153
45, 0.161
46, 0.145
47, 0.173
48, 0.150
49, 0.231
50, 0.175
51, 0.154
52, 0.179
53, 0.159
54, 0.156
55, 0.154
56, 0.148
57, 0.155
58, 0.150
59, 0.152
60, 0.148
61, 0.182
62, 0.155
63, 0.152
64, 0.150
65, 0.152
66, 0.143
67, 0.158
68, 0.131
69, 0.130
70, 0.133
71, 0.122
72, 0.114
73, 0.126
74, 0.123
75, 0.107
76, 0.103
77, 0.109
78, 0.136
79, 0.114
80, 0.090
81, 0.103
82, 0.097
83, 0.116
84, 0.128
85, 0.108
86, 0.116
87, 0.106
88, 0.108
89, 0.109
90, 0.096
91, 0.100
92, 0.109
93, 0.094
94, 0.115
95, 0.094
96, 0.096
97, 0.089
98, 0.087
99, 0.095
100, 0.091
101, 0.078
102, 0.088
103, 0.091
104, 0.088
105, 0.091
106, 0.081
107, 0.075
108, 0.113
109, 0.093
110, 0.088
111, 0.087
112, 0.079
113, 0.093
114, 0.085
115, 0.106
116, 0.094
117, 0.126
118, 0.129
119, 0.106
120, 0.098
121, 0.089
122, 0.080
123, 0.089
124, 0.085
125, 0.086
126, 0.075
127, 0.076
128, 0.085
129, 0.082
130, 0.083
131, 0.080
132, 0.081
133, 0.091
134, 0.075
135, 0.081
136, 0.096
137, 0.074
138, 0.081
139, 0.075
140, 0.081
141, 0.089
142, 0.083
143, 0.087
144, 0.093
145, 0.087
146, 0.085
147, 0.076
148, 0.082
149, 0.080
150, 0.072
151, 0.109
152, 0.099
153, 0.091
154, 0.095
155, 0.082
156, 0.094
157, 0.087
158, 0.087
159, 0.090
160, 0.089
161, 0.080
162, 0.072
163, 0.078
164, 0.069
165, 0.081
166, 0.081
167, 0.077
168, 0.076
169, 0.074
170, 0.078
171, 0.089
172, 0.077
173, 0.116
174, 0.065
175, 0.065
176, 0.069
177, 0.069
178, 0.072
179, 0.068
180, 0.093
181, 0.070
182, 0.075
183, 0.108
184, 0.076
185, 0.076
186, 0.076
187, 0.075
188, 0.072
189, 0.074
190, 0.075
191, 0.080
192, 0.092
193, 0.065
194, 0.080
195, 0.076
196, 0.086
197, 0.075
198, 0.067
199, 0.068
200, 0.078
201, 0.072
202, 0.074
203, 0.075
204, 0.062
205, 0.067
206, 0.068
207, 0.060
208, 0.081
209, 0.072
210, 0.068
211, 0.075
212, 0.082
213, 0.111
214, 0.069
215, 0.076
216, 0.075
217, 0.073
218, 0.074
219, 0.094
220, 0.072
221, 0.143
222, 0.081
223, 0.069
224, 0.074
225, 0.080
226, 0.076
227, 0.069
228, 0.064
229, 0.063
230, 0.060
231, 0.076
232, 0.076
233, 0.080
234, 0.075
235, 0.071
236, 0.064
237, 0.076
238, 0.065
239, 0.069
240, 0.071
241, 0.080
242, 0.071
243, 0.066
244, 0.083
245, 0.071
246, 0.078
247, 0.073
248, 0.089
249, 0.083
250, 0.082
251, 0.092
252, 0.070
253, 0.069
254, 0.064
255, 0.070
256, 0.071
257, 0.068
258, 0.068
259, 0.071
260, 0.078
261, 0.071
262, 0.072
263, 0.074
